Rk,Date,Day,,Tm,,Opp,Tm,Opp,Score Diff ,Yard Diff ,Time of Poss Diff 
1,12/24/2017,Sun,W,New England Patriots,,Buffalo Bills,37,16,21,-89,2:05
2,10/29/2018,Mon,W,New England Patriots,@,Buffalo Bills,25,6,19,34,0:39
3,12/23/2018,Sun,W,New England Patriots,,Buffalo Bills,24,12,12,101,1:16
3,9/29/2019,Sun,W,New England Patriots,@,Buffalo Bills,16,10,6,-151,8:07
5,12/21/2019,Sat,W,New England Patriots,,Buffalo Bills,24,17,7,154,0:15
6,11/1/2020,Sun,L,New England Patriots,@,Buffalo Bills,21,24,-3,10,7:31
7,12/28/2020,Mon,L,New England Patriots,,Buffalo Bills,9,38,-29,-273,0:56
8,12/6/2021,Mon,W,New England Patriots,@,Buffalo Bills,14,10,4,11,9:03
9,12/26/2021,Sun,L,New England Patriots,,Buffalo Bills,21,33,-12,140,10:01
10,1/15/2022,Sat,L,New England Patriots,@,Buffalo Bills,17,47,-30,177,113
